paper_name	encode_term	series_accession	experiment_0h	experiment_2h	experiment_6h
A673	A673	ENCSR402VBH	ENCSR912SRZ	ENCSR971YFG	ENCSR380EZD
Caco2	Caco-2	ENCSR556NXN	ENCSR892NYB	ENCSR245MXB	ENCSR672HUM
Calu3	Calu3	ENCSR128KRZ	ENCSR692DCF	ENCSR591KLL	ENCSR456HKF
GM12878	GM12878	ENCSR667MTP	ENCSR267RPG	ENCSR685SOS	ENCSR993ASV
HCT116	HCT116	ENCSR382OTN	ENCSR799MPW	ENCSR263QXD	ENCSR149QZB
HepG2	HepG2	ENCSR498PKB	ENCSR974AQD	ENCSR295FEH	ENCSR135DZR
HMEC	mammary epithelial cell	ENCSR514AEU	ENCSR419IWZ	ENCSR677JOI	ENCSR497HPX
HUVEC	endothelial cell of umbilical vein	ENCSR340PPM	ENCSR849FAX	ENCSR624MRE	ENCSR656QKV
IMR90	IMR-90	ENCSR643YFH	ENCSR103IHW	ENCSR797SWY	ENCSR809IJG
K562	K562	ENCSR262JVE	ENCSR729WFH	ENCSR633UIR	ENCSR762OPQ
MCF10A	MCF 10A	ENCSR921MKO	ENCSR444JTC	ENCSR780VOL	ENCSR917MFV
MCF7	MCF-7	ENCSR449TKK	ENCSR727IHV	ENCSR874VJT	ENCSR562TNZ
OCILY7	OCI-LY7	ENCSR085XDF	ENCSR121MLV	ENCSR014FMT	ENCSR012JHB
panc1	Panc1	ENCSR559QJB	ENCSR639ZOU	ENCSR603TYF	ENCSR069MAW
PC3	PC-3	ENCSR365SJC	ENCSR622SUM	ENCSR042DKG	ENCSR155GYW
PC9	PC-9	ENCSR681CRN	ENCSR223GHJ	ENCSR340JNN	ENCSR699DUJ
